x,y
1009.0142785890913,11818.0
1010.8494357239441,6932.0
1012.6853310004116,5704.0
1014.5219643916295,6383.0
1016.3593358701518,6890.0
1018.1986415555131,7577.0
1020.0374896041568,8177.0
1021.878272762449,7928.0
1023.719794853001,7804.0
1025.5620558453982,7456.0
1027.4062542583902,6736.0
1029.2511924716955,6381.0
1031.0968704530685,5455.0
1032.9432881696703,4780.0
1034.7904455880616,3899.0
1036.6395436275325,3376.0
1038.4893822616157,3245.0
1040.3399614550215,3448.0
1042.1912811718573,3621.0
1044.0433413756243,3931.0
1045.8973453870908,3977.0
1047.7520907725516,4357.0
1049.6075774936285,4317.0
1051.4638055113278,4574.0
1053.3219800684203,4534.0
1055.179691040942,4712.0
1057.0393494340499,4709.0
1058.8997499238587,4919.0
1060.762099675623,4979.0
1062.6239847130032,5031.0
1064.4878198888537,4832.0
1066.3523979517042,5168.0
1068.217718856862,4984.0
1070.0837825590022,5154.0
1071.9517991081284,5335.0
1073.8205593246769,5190.0
1075.6900631613514,5179.0
1077.5603105702264,5252.0
1079.4325135253632,5044.0
1081.3042484138496,5353.0
1083.1779397128462,5399.0
1085.052375349181,5297.0
1086.9275552716501,5313.0
1088.8046938598095,5228.0
1090.6825775934096,5351.0
1092.559991023936,5306.0
1094.4405802833753,5408.0
1096.32069913135,5149.0
1098.2015629079783,5213.0
1100.0843888804075,5324.0
1101.9679606330212,5256.0
1103.8522781085812,5441.0
1105.738560018559,5219.0
1107.6243692476485,5255.0
1109.512143757539,5383.0
1111.4006647189005,5102.0
1113.2899320710844,5299.0
1115.181166933064,5502.0
1117.071927364384,5134.0
1118.9646561452494,5238.0
1120.8581320319547,5333.0
1122.7523549604032,5438.0
1124.6485484575628,5182.0
1126.5442657566714,5290.0
1128.4419544574832,5318.0
1130.3403909013286,5195.0
1132.2408005420023,5412.0
1134.1407327507127,5638.0
1136.0426389838244,5178.0
1137.9452936501393,5574.0
1139.8486966791777,5285.0
1141.7528479997786,5315.0
1143.6589759565006,5242.0
1145.5646241263003,5552.0
1147.4722497513294,5501.0
1149.3806243410934,5373.0
1151.2909781675553,5191.0
1153.2008509442173,5043.0
1155.1127037710605,4981.0
1157.0253062243155,4858.0
1158.938658226255,4957.0
1160.8539924585323,4772.0
1162.7688438043385,4667.0
1164.685678186729,4927.0
1166.6032627648938,4946.0
1168.5215974573941,4559.0
1170.4419173558,4718.0
1172.3617525123775,4924.0
1174.283573673742,4472.0
1176.2061455817116,4692.0
1178.1294681510924,4567.0
1180.0547788835238,4541.0
1181.9808410703238,4702.0
1183.9064160706344,4582.0
1185.833980420029,4886.0
1187.7635354779,4758.0
1189.6926025994762,4965.0
1191.623661214883,5067.0
1193.5554717138807,5427.0
1195.4880340043408,5631.0
1197.4213479934006,6014.0
1199.3566560033833,6344.0
1201.2914735907054,6489.0
1203.2282859749562,5965.0
1205.1658506441688,5659.0
1207.1054118489005,5109.0
1209.0444812796304,4884.0
1210.9855480156273,4061.0
1212.9273676103155,3565.0
1214.8699399636923,3059.0
1216.8145117367424,2651.0
1218.758589787148,2296.0
1220.7046680189667,2040.0
1222.6514995672057,2203.0
1224.5990843278537,2242.0
1226.5474221961185,2544.0
1228.4977627251426,2408.0
1230.4488571153768,2435.0
1232.4007052595077,2514.0
1234.3533070494398,2537.0
1236.3066623762925,2672.0
1238.26202320323,2858.0
1240.2181383124016,2473.0
1242.175007592366,2740.0
1244.1326309308906,2610.0
1246.091008214954,2768.0
1248.051393817452,2648.0
1250.0125341023697,2832.0
1251.9744289540877,2635.0
1253.9370782561778,2791.0
1255.9017383092093,2707.0
1257.8658966420815,2771.0
1259.8320664542043,2660.0
1261.7989912079229,2849.0
1263.7666707825647,2624.0
1265.7363638877314,2690.0
1267.7055532213712,2684.0
1269.6767568051337,2803.0
1271.6487156837613,2733.0
1273.6226904938187,2828.0
